"DIAG","DIAG_DESC","DIAG_C","DIAG_5"
1,"CHOLERA D/T VIB CHOLERAE                   ",1,10
1,"CHOLERA D/T VIB EL TOR                     ",1.1,11
1,"CHOLERA NOS                                ",1.9,19
2,"TYPHOID FEVER                              ",2,20
2,"PARATYPHOID FEVER A                        ",2.1,21
2,"PARATYPHOID FEVER B                        ",2.2,22
2,"PARATYPHOID FEVER C                        ",2.3,23
2,"PARATYPHOID FEVER NOS                      ",2.9,29
3,"SALMONELLA ENTERITIS                       ",3,30
3,"SALMONELLA SEPTICEMIA                      ",3.1,31
3,"LOCAL SALMONELLA INF NOS                   ",3.2,320
3,"SALMONELLA MENINGITIS                      ",3.21,321
3,"SALMONELLA PNEUMONIA                       ",3.22,322
3,"SALMONELLA ARTHRITIS                       ",3.23,323
3,"SALMONELLA OSTEOMYELITIS                   ",3.24,324
3,"LOCAL SALMONELLA INF NEC                   ",3.29,329
3,"SALMONELLA INFECTION NEC                   ",3.8,38
3,"SALMONELLA INFECTION NOS                   ",3.9,39
4,"SHIGELLA DYSENTERIAE                       ",4,40
4,"SHIGELLA FLEXNERI                          ",4.1,41
4,"SHIGELLA BOYDII                            ",4.2,42
4,"SHIGELLA SONNEI                            ",4.3,43
4,"SHIGELLA INFECTION NEC                     ",4.8,48
4,"SHIGELLOSIS NOS                            ",4.9,49
5,"STAPH FOOD POISONING                       ",5,50
5,"BOTULISM                                   ",5.1,51
5,"FOOD POIS D/T C. PERFRIN                   ",5.2,52
5,"FOOD POIS: CLOSTRID NEC                    ",5.3,53
5,"FOOD POIS: V. PARAHAEM                     ",5.4,54
5,"BACT FOOD POISONING NEC                    ",5.8,58
5,"FOOD POISONING NOS                         ",5.9,59
6,"AC AMEBIASIS W/O ABSCESS                   ",6,60
6,"CHR AMEBIASIS W/O ABSCES                   ",6.1,61
6,"AMEBIC NONDYSENT COLITIS                   ",6.2,62
6,"AMEBIC LIVER ABSCESS                       ",6.3,63
6,"AMEBIC LUNG ABSCESS                        ",6.4,64
6,"AMEBIC BRAIN ABSCESS                       ",6.5,65
6,"AMEBIC SKIN ULCERATION                     ",6.6,66
6,"AMEBIC INFECTION NEC                       ",6.8,68
6,"AMEBIASIS NOS                              ",6.9,69
7,"BALANTIDIASIS                              ",7,70
7,"GIARDIASIS                                 ",7.1,71
7,"COCCIDIOSIS                                ",7.2,72
7,"INTEST TRICHOMONIASIS                      ",7.3,73
7,"PROTOZOAL INTEST DIS NEC                   ",7.8,78
7,"PROTOZOAL INTEST DIS NOS                   ",7.9,79
8,"ENTERITIS-E. COLI NOS                      ",8,800
8,"ENTERIT-ENTERPATH E.COLI                   ",8.01,801
8,"ENTERIT-ENTEROTOX E.COLI                   ",8.02,802
8,"ENTERIT-ENTERINVS E.COLI                   ",8.03,803
8,"ENTERIT-ENTERHEMO E.COLI                   ",8.04,804
8,"ENTERITIS-E. COLI NEC                      ",8.09,809
8,"ARIZONA ENTERITIS                          ",8.1,81
8,"AEROBACTER ENTERITIS                       ",8.2,82
8,"PROTEUS ENTERITIS                          ",8.3,83
8,"STAPHYLOCOCC ENTERITIS                     ",8.41,841
8,"PSEUDOMONAS ENTERITIS                      ",8.42,842
8,"CAMPYLOBACTER ENTERITIS                    ",8.43,843
8,"Y.ENTEROCOLITICA ENTERIT                   ",8.44,844
8,"C. DIFFICILE ENTERITIS                     ",8.45,845
8,"ENTERITIS-ANAEROBE NEC                     ",8.46,846
8,"ENTERIT-GRM NEG BACT NEC                   ",8.47,847
8,"BACTERIAL ENTERITIS NEC                    ",8.49,849
8,"BACTERIAL ENTERITIS NOS                    ",8.5,85
8,"ROTAVIRUS ENTERITIS                        ",8.61,861
8,"ADENOVIRUS ENTERITIS                       ",8.62,862
8,"NORWALK VIRUS ENTERITIS                    ",8.63,863
8,"ENTERITIS-SRV NEC                          ",8.64,864
8,"CALCIVIRUS ENTERITIS                       ",8.65,865
8,"ASTROVIRUS ENTERITIS                       ",8.66,866
8,"ENTERIT-ENTEROVIRUS NEC                    ",8.67,867
8,"VIRAL ENTERITIS NEC                        ",8.69,869
8,"VIRAL ENTERITIS NOS                        ",8.8,88
9,"INFECTIOUS ENTERITIS NOS                   ",9,90
9,"ENTERITIS OF INFECT ORIG                   ",9.1,91
9,"INFECTIOUS DIARRHEA NOS                    ",9.2,92
9,"DIARRHEA OF INFECT ORIG                    ",9.3,93
10,"PRIM TB COMPLEX-UNSPEC                     ",10,1000
10,"PRIM TB COMPLEX-NO EXAM                    ",10.01,1001
10,"PRIM TB COMPLEX-EXM UNKN                   ",10.02,1002
10,"PRIM TB COMPLEX-MICRO DX                   ",10.03,1003
10,"PRIM TB COMPLEX-CULT DX                    ",10.04,1004
10,"PRIM TB COMPLEX-HISTO DX                   ",10.05,1005
10,"PRIM TB COMPLEX-OTH TEST                   ",10.06,1006
10,"PRIM TB PLEURISY-UNSPEC                    ",10.1,1010
10,"PRIM TB PLEURISY-NO EXAM                   ",10.11,1011
10,"PRIM TB PLEUR-EXAM UNKN                    ",10.12,1012
10,"PRIM TB PLEURIS-MICRO DX                   ",10.13,1013
10,"PRIM TB PLEURISY-CULT DX                   ",10.14,1014
10,"PRIM TB PLEURIS-HISTO DX                   ",10.15,1015
10,"PRIM TB PLEURIS-OTH TEST                   ",10.16,1016
10,"PRIM PROG TB NEC-UNSPEC                    ",10.8,1080
10,"PRIM PROG TB NEC-NO EXAM                   ",10.81,1081
10,"PRIM PR TB NEC-EXAM UNKN                   ",10.82,1082
10,"PRIM PRG TB NEC-MICRO DX                   ",10.83,1083
10,"PRIM PROG TB NEC-CULT DX                   ",10.84,1084
10,"PRIM PRG TB NEC-HISTO DX                   ",10.85,1085
10,"PRIM PRG TB NEC-OTH TEST                   ",10.86,1086
10,"PRIMARY TB NOS-UNSPEC                      ",10.9,1090
10,"PRIMARY TB NOS-NO EXAM                     ",10.91,1091
10,"PRIMARY TB NOS-EXAM UNKN                   ",10.92,1092
10,"PRIMARY TB NOS-MICRO DX                    ",10.93,1093
10,"PRIMARY TB NOS-CULT DX                     ",10.94,1094
10,"PRIMARY TB NOS-HISTO DX                    ",10.95,1095
10,"PRIMARY TB NOS-OTH TEST                    ",10.96,1096
11,"TB LUNG INFILTR-UNSPEC                     ",11,1100
11,"TB LUNG INFILTR-NO EXAM                    ",11.01,1101
11,"TB LUNG INFILTR-EXM UNKN                   ",11.02,1102
11,"TB LUNG INFILTR-MICRO DX                   ",11.03,1103
11,"TB LUNG INFILTR-CULT DX                    ",11.04,1104
11,"TB LUNG INFILTR-HISTO DX                   ",11.05,1105
11,"TB LUNG INFILTR-OTH TEST                   ",11.06,1106
11,"TB LUNG NODULAR-UNSPEC                     ",11.1,1110
11,"TB LUNG NODULAR-NO EXAM                    ",11.11,1111
11,"TB LUNG NODUL-EXAM UNKN                    ",11.12,1112
11,"TB LUNG NODULAR-MICRO DX                   ",11.13,1113
11,"TB LUNG NODULAR-CULT DX                    ",11.14,1114
11,"TB LUNG NODULAR-HISTO DX                   ",11.15,1115
11,"TB LUNG NODULAR-OTH TEST                   ",11.16,1116
11,"TB LUNG W CAVITY-UNSPEC                    ",11.2,1120
