"OP","OP_DESC","OP_C"
1.01,"CISTERNAL PUNCTURE                            ",1.01
1.02,"VENTRICL SHUNT TUBE PUNC                      ",1.02
1.09,"CRANIAL PUNCTURE NEC                          ",1.09
1.11,"PERCUTAN MENINGEAL BX                         ",1.11
1.12,"OPEN BX CEREBRL MENINGES                      ",1.12
1.13,"PERCUTANEOUS BRAIN BX                         ",1.13
1.14,"OPEN BIOPSY OF BRAIN                          ",1.14
1.15,"SKULL BIOPSY                                  ",1.15
1.18,"OTHER BRAIN DX PROCEDURE                      ",1.18
1.19,"OTHER SKULL DX PROCEDURE                      ",1.19
1.21,"CRANIAL SINUS I & D                           ",1.21
1.22,"REMOV INTRACRAN STIMULAT                      ",1.22
1.23,"REOPEN CRANIOTOMY SITE                        ",1.23
1.24,"OTHER CRANIOTOMY                              ",1.24
1.25,"OTHER CRANIECTOMY                             ",1.25
1.31,"INCISE CEREBRAL MENINGES                      ",1.31
1.32,"LOBOTOMY & TRACTOTOMY                         ",1.32
1.39,"OTHER BRAIN INCISION                          ",1.39
1.41,"THALAMUS OPERATIONS                           ",1.41
1.42,"GLOBUS PALLIDUS OPS                           ",1.42
1.51,"EX CEREB MENINGEAL LES                        ",1.51
1.52,"HEMISPHERECTOMY                               ",1.52
1.53,"BRAIN LOBECTOMY                               ",1.53
1.59,"OTHER BRAIN EXCISION                          ",1.59
1.6,"EXCISE SKULL LESION                           ",1.6
2.01,"LINEAR CRANIECTOMY                            ",2.01
2.02,"ELEVATE SKULL FX FRAGMNT                      ",2.02
2.03,"SKULL FLAP FORMATION                          ",2.03
2.04,"BONE GRAFT TO SKULL                           ",2.04
2.05,"SKULL PLATE INSERTION                         ",2.05
2.06,"CRANIAL OSTEOPLASTY NEC                       ",2.06
2.07,"SKULL PLATE REMOVAL                           ",2.07
2.11,"SIMPLE SUTURE OF DURA                         ",2.11
2.12,"BRAIN MENINGE REPAIR NEC                      ",2.12
2.13,"MENINGE VESSEL LIGATION                       ",2.13
2.14,"CHOROID PLEXECTOMY                            ",2.14
2.2,"VENTRICULOSTOMY                               ",2.2
2.31,"VENTRICL SHUNT-HEAD/NECK                      ",2.31
2.32,"VENTRI SHUNT-CIRCULA SYS                      ",2.32
2.33,"VENTRICL SHUNT-THORAX                         ",2.33
2.34,"VENTRICL SHUNT-ABDOMEN                        ",2.34
2.35,"VENTRI SHUNT-URINARY SYS                      ",2.35
2.39,"OTHER VENTRICULAR SHUNT                       ",2.39
2.41,"IRRIGATE VENTRICLE SHUNT                      ",2.41
2.42,"REPLACE VENTRICLE SHUNT                       ",2.42
