ALL
"PAT_NO	ADM_DATE	DIS_DATE	TOT_NO_DXS	OCCURRENCE	DIAGNOSIS"
"					"
"1236679	12/23/00	12/27/00	6	1	721.3"
"					"
"1236679	12/23/00	12/27/00	6	2	733.1"
"					"
"1236679	12/23/00	12/27/00	6	3	250.01"
"					"
"1236679	12/23/00	12/27/00	6	4	733.9"
"					"
"1236679	12/23/00	12/27/00	6	5	737.3"
"					"
"1236679	12/23/00	12/27/00	6	6	401.9"
"					"
"1254421	11/29/00	12/3/00	2	1	493.9"
"					"
"1254421	11/29/00	12/3/00	2	2	486"
"					"
"1307887	11/14/00	11/26/00	5	1	553.2"
"					"
"1307887	11/14/00	11/26/00	5	2	998.5"
"					"
"1307887	11/14/00	11/26/00	5	3	682.2"
"					"
"1307887	11/14/00	11/26/00	5	4	998.2"
"					"
"1307887	11/14/00	11/26/00	5	5	41.8"
"					"
"1309045	11/8/00	11/15/00	8	1	403.91"
"					"
"1309045	11/8/00	11/15/00	8	2	428"
"					"
"1309045	11/8/00	11/15/00	8	3	427.31"
"					"
"1309045	11/8/00	11/15/00	8	4	578.1"
"					"
"1309045	11/8/00	11/15/00	8	5	715.9"
"					"
"1309045	11/8/00	11/15/00	8	6	1012.7"
"					"
"1309045	11/8/00	11/15/00	8	7	285.9"
"					"
"1309045	11/8/00	11/15/00	8	8	311"
"					"
"1322887	10/25/00	10/29/00	3	1	428"
"					"
"1322887	10/25/00	10/29/00	3	2	394"
"					"
"1322887	10/25/00	10/29/00	3	3	427.31"
"					"
"1322887	12/19/00	12/24/00	5	1	398.91"
"					"
"1322887	12/19/00	12/24/00	5	2	427.31"
"					"
"1322887	12/19/00	12/24/00	5	3	396"
"					"
"1322887	12/19/00	12/24/00	5	4	413.9"
"					"
"1322887	12/19/00	12/24/00	5	5	412"
"					"
"1341793	11/1/00	11/11/00	14	1	428"
"					"
"1341793	11/1/00	11/11/00	14	2	424"
"					"
"1341793	11/1/00	11/11/00	14	3	202.84"
"					"
"1341793	11/1/00	11/11/00	14	4	276.1"
"					"
"1341793	11/1/00	11/11/00	14	5	276.7"
"					"
