ALL
|       TISSUE       |                  DESCRIPT                  |

|                  0 | NO TISSUE                                  |

|                  1 | NO ABNORMALITY                             |

|                  2 | OTHER ABNORMALITY                          |

|                  3 | MECHANICAL ABNORMALITY                     |

|                  4 | GROWTH ALTERATION                          |

|                  5 | DEGENERATION AND NECROSIS                  |

|                  6 | NON-ACUTE INFLAMATION                      |

|                  7 | ACUTE INFLAMATION                          |

|                  8 | NON-MALIGNANT NEOPLASM                     |

|                  9 | MALIGNANT NEOPLASM                         |

|                 10 | NOT APPLICABLE                             |
