"DRG","MAJ_DX_CAT","PARTITION","DESCRIPTOR","WEIGHT","ARITH_LOS","MEAN_LOS","CUTOFF"
"         1","01                ","PROCEDURAL        ","CRANIOTOMY AGE >17 EXCEPT  ","      336.37","           17.3","           12.2","         44 "
"         2","01                ","PROCEDURAL        ","CRANIOTOMY FOR TRAUMA AGE  ","      332.33","           16.4","           11.3","         43 "
"         3","01                ","PROCEDURAL        ","CRANIOTOMY AGE 0-17        ","       288.3","           16.8","           12.7","         45 "
"         4","01                ","PROCEDURAL        ","SPINAL PROCEDURES          ","      245.77","           14.5","            9.9","         42 "
"         5","01                ","PROCEDURAL        ","EXTRACRANIAL VASCULAR      ","      152.41","            7.1","            5.5","         35 "
"         6","01                ","PROCEDURAL        ","CARPAL TUNNEL RELEASE      ","       48.68","            2.9","            1.9","         17 "
"         7","01                ","PROCEDURAL        ","PERIPH & CRANIAL NERVE &   ","      271.85","           22.8","           11.6","         44 "
"         8","01                ","PROCEDURAL        ","PERIPH & CRANIAL NERVE &   ","        77.3","            5.2","              3","         35 "
"         9","01                ","MEDICAL           ","SPINAL DISORDERS & INJURIES","      129.33","           10.8","            7.1","         39 "
"        10","01                ","MEDICAL           ","NERVOUS SYSTEM NEOPLASMS W ","      128.34","           11.4","            7.7","         40 "
"        11","01                ","MEDICAL           ","NERVOUS SYSTEM NEOPLASMS   ","       75.45","            6.5","            4.4","         36 "
"        12","01                ","MEDICAL           ","DEGENERATIVE NERVOUS SYSTEM","       93.72","           10.6","            6.9","         39 "
"        13","01                ","MEDICAL           ","MULTIPLE SCLEROSIS &       ","       85.24","              9","            6.7","         39 "
"        14","01                ","MEDICAL           ","SPECIFIC CEREBROVASCULAR   ","      121.73","           10.3","            7.2","         39 "
"        15","01                ","MEDICAL           ","TRANSIENT ISCHEMIC ATTACK &","       65.24","            5.5","            4.1","         33 "
"        16","01                ","MEDICAL           ","NONSPECIFIC CEREBROVASCULAR","      108.24","            9.5","            6.6","         39 "
"        17","01                ","MEDICAL           ","NONSPECIFIC CEREBROVASCULAR","       63.31","            5.9","            4.4","         36 "
"        18","01                ","MEDICAL           ","CRANIAL & PERIPHERAL NERVE ","       89.71","            8.1","            5.9","         38 "
"        19","01                ","MEDICAL           ","CRANIAL & PERIPHERAL NERVE ","       57.35","            5.3","            3.9","         36 "
"        20","01                ","MEDICAL           ","NERVOUS SYSTEM INFECTION   ","      193.48","           12.6","            8.5","         40 "
"        21","01                ","MEDICAL           ","VIRAL MENINGITIS           ","      146.85","           10.2","            7.5","         39 "
"        22","01                ","MEDICAL           ","HYPERTENSIVE ENCEPHALOPATHY","        71.9","            5.9","            4.4","         35 "
"        23","01                ","MEDICAL           ","NONTRAUMATIC STUPOR & COMA ","       87.15","            6.6","            4.4","         36 "
"        24","01                ","MEDICAL           ","SEIZURE & HEADACHE AGE >17 ","       97.92","            7.7","            5.3","         37 "
"        25","01                ","MEDICAL           ","SEIZURE & HEADACHE AGE >17 ","       52.52","            4.6","            3.5","         28 "
"        26","01                ","MEDICAL           ","SEIZURE & HEADACHE AGE 0-17","       82.81","            4.4","            3.4","         31 "
"        27","01                ","MEDICAL           ","TRAUMATIC STUPOR & COMA",NA,NA,NA,NA
"        28","01                ","MEDICAL           ","TRAUMATIC STUPOR & COMA",NA,NA,NA,NA
"        29","01                ","MEDICAL           ","TRAUMATIC STUPOR & COMA",NA,NA,NA,NA
"        30","01                ","MEDICAL           ","TRAUMATIC STUPOR & COMA",NA,NA,NA,NA
"        31","01                ","MEDICAL           ","CONCUSSION AGE >17 W CC    ","       71.39","            6.6","            4.3","         36 "
"        32","01                ","MEDICAL           ","CONCUSSION AGE >17 W/O CC  ","       41.45","            3.7","            2.6","         25 "
"        33","01                ","MEDICAL           ","CONCUSSION AGE 0-17        ","       24.27","              0","            1.6","          9 "
"        34","01                ","MEDICAL           ","OTHER DISORDERS OF NERVOUS ","      115.24","            8.8","            5.9","         38 "
"        35","01                ","MEDICAL           ","OTHER DISORDERS OF NERVOUS ","       56.48","            5.5","            3.7","         36 "
"        36","02                ","PROCEDURAL        ","RETINAL PROCEDURES         ","       64.34","            2.6","            2.1","         12 "
"        37","02                ","PROCEDURAL        ","ORBITAL PROCEDURES         ","       79.51","            4.5","            2.9","         35 "
"        38","02                ","PROCEDURAL        ","PRIMARY IRIS PROCEDURES    ","       35.32","            2.7","            2.1","         16 "
"        39","02                ","PROCEDURAL        ","LENS PROCEDURES WITH OR    ","       47.32","            1.9","            1.5","          8 "
"        40","02                ","PROCEDURAL        ","EXTRAOCULAR PROCEDURES     ","       51.01","            3.1","              2","         23 "
"        41","02                ","PROCEDURAL        ","EXTRAOCULAR PROCEDURES     ","       36.13","              0","            1.6","          7 "
"        42","02                ","PROCEDURAL        ","INTRAOCULAR PROCEDURES     ","       61.62","            2.7","            2.1","         15 "
"        43","02                ","MEDICAL           ","HYPHEMA                    ","       35.79","            4.5","            3.6","         25 "
"        44","02                ","MEDICAL           ","ACUTE MAJOR EYE INFECTIONS ","       61.19","              7","            5.5","         36 "
"        45","02                ","MEDICAL           ","NEUROLOGICAL EYE DISORDERS ","       59.38","            4.5","            3.5","         30 "
"        46","02                ","MEDICAL           ","OTHER DISORDERS OF THE EYE ","       67.09","              6","            4.1","         36 "
"        47","02                ","MEDICAL           ","OTHER DISORDERS OF THE EYE ","       39.23","            4.4","            2.7","         31 "
"        48","02                ","MEDICAL           ","OTHER DISORDERS OF THE EYE ","       39.69","              8","            2.9","         30 "
"        49","03                ","PROCEDURAL        ","MAJOR HEAD & NECK          ","       227.9","           11.2","              7","         39 "
"        50","03                ","PROCEDURAL        ","SIALOADENECTOMY            ","       66.25","            2.8","            2.2","         14 "
"        51","03                ","PROCEDURAL        ","SALIVARY GLAND PROCEDURES  ","       58.71","            2.9","              2","         18 "
"        52","03                ","PROCEDURAL        ","CLEFT LIP & PALATE REPAIR  ","       74.51","            3.8","            2.4","         22 "
"        53","03                ","PROCEDURAL        ","SINUS & MASTOID PROCEDURES ","        65.9","            3.1","            1.9","         20 "
"        54","03                ","PROCEDURAL        ","SINUS & MASTOID PROCEDURES ","       68.06","              0","            3.2","         22 "
"        55","03                ","PROCEDURAL        ","MISCELLANEOUS EAR",NA,NA,NA,NA
"        56","03                ","PROCEDURAL        ","RHINOPLASTY                ","       54.44","            2.7","            1.8","         15 "
"        57","03                ","PROCEDURAL        ","T&A PROC",NA,NA,NA,NA
"        58","03                ","PROCEDURAL        ","T&A PROC",NA,NA,NA,NA
"        59","03                ","PROCEDURAL        ","TONSILLECTOMY &/OR         ","       40.71","            2.1","            1.5","         10 "
"        60","03                ","PROCEDURAL        ","TONSILLECTOMY &/OR         ","       25.84","              0","            1.5","          4 "
"        61","03                ","PROCEDURAL        ","MYRINGOTOMY W TUBE         ","       80.65","            4.7","            2.5","         35 "
"        62","03                ","PROCEDURAL        ","MYRINGOTOMY W TUBE         ","       30.52","              0","            1.3","          5 "
"        63","03                ","PROCEDURAL        ","OTHER EAR",NA,NA,NA,NA
"        64","03                ","MEDICAL           ","EAR",NA,NA,NA,NA
"        65","03                ","MEDICAL           ","DYSEQUILIBRIUM             ","       47.27","            4.2","            3.3","         23 "
"        66","03                ","MEDICAL           ","EPISTAXIS                  ","       46.06","            4.2","            3.3","         24 "
"        67","03                ","MEDICAL           ","EPIGLOTTITIS               ","       87.08","            5.4","            4.2","         32 "
"        68","03                ","MEDICAL           ","OTITIS MEDIA & URI AGE >17 ","       72.77","            6.2","              5","         33 "
"        69","03                ","MEDICAL           ","OTITIS MEDIA & URI AGE >17 ","       51.56","            4.6","            3.9","         23 "
